tweet_url,tweet_id,leni_sentiment,marcos_sentiment,incident,account_type,tweet_type,content_type,country,has_leni_ref,alt-text
https://twitter.com/honeycanto/status/861580591208124416,861580591208124416,Negative,Neutral,Others,Identified,"Text, Reply",Emotional,Singapore,1,
https://twitter.com/HotKramer/status/1514112215485665280,1514112215485665280,Negative,Positive,Scandal,Anonymous,"Image, Reply",Rational,Philippines,1,"{four images;
one image is of a cartoon depicting a cartoonish Leni and a cartoonish Bam supposedly planning to release a fake scandal}"
https://twitter.com/SexymhieQ/status/1514119913677660168,1514119913677660168,Negative,Positive,Scandal,Anonymous,"Text, Image, Reply",Rational,New Zealand,1,{image of a cartoon depicting a cartoonish Leni and a cartoonish Bam supposedly planning to release a fake scandal}
https://twitter.com/ItsJamMagno/status/1511560623062020097,1511560623062020097,Neutral,Neutral,Ladder,Identified,"Text, Image",Rational,Philippines,1,{image of a person in pink tipping down with a ladder}
https://twitter.com/ARJE2025/status/1511595019345743873,1511595019345743873,Negative,Neutral,Ladder,Anonymous,"Text, Image, Reply",Rational,,1,"{image of morphed leni with saying ""18hrs work - 6hrs sleep"";
replying to Jam Magno tweet which reads
""BREAKING NEWS: Tricia Robredo, anak ni Leni, nalaglag sa hagdan after magpumulit umakyat para kumbinsihin ang mga solid BBM Supporters.

BBM nga daw kasi sila, wag nang magpumilit, yan tuloy.""}"
https://twitter.com/kennbert27/status/1511617259214876673,1511617259214876673,Neutral,Neutral,Ladder,Identified,"Text, Reply","Rational, Emotional",,0,"{replying to Jam Magno tweet which reads
""BREAKING NEWS: Tricia Robredo, anak ni Leni, nalaglag sa hagdan after magpumulit umakyat para kumbinsihin ang mga solid BBM Supporters.

BBM nga daw kasi sila, wag nang magpumilit, yan tuloy.""}"
https://twitter.com/rs015dbph/status/1513230161914712064,1513230161914712064,Neutral,Neutral,Ladder,Identified,"Text, Reply",Emotional,Philippines,0,"{quoting Jam Magno tweet which reads
""BREAKING NEWS: Tricia Robredo, anak ni Leni, nalaglag sa hagdan after magpumulit umakyat para kumbinsihin ang mga solid BBM Supporters.

BBM nga daw kasi sila, wag nang magpumilit, yan tuloy.""}"
https://twitter.com/esor11oasudac/status/1511914226860060675,1511914226860060675,Negative,Neutral,Ladder,Anonymous,"Text, Reply",Emotional,,1,"{quoting Jam Magno tweet which reads
""BREAKING NEWS: Tricia Robredo, anak ni Leni, nalaglag sa hagdan after magpumulit umakyat para kumbinsihin ang mga solid BBM Supporters.

BBM nga daw kasi sila, wag nang magpumilit, yan tuloy.""}"
https://twitter.com/rduarna040974/status/1511697461932265477,1511697461932265477,Neutral,Neutral,Ladder,Identified,"Text, Reply",Emotional,,0,"{quoting Jam Magno tweet which reads
""BREAKING NEWS: Tricia Robredo, anak ni Leni, nalaglag sa hagdan after magpumulit umakyat para kumbinsihin ang mga solid BBM Supporters.

BBM nga daw kasi sila, wag nang magpumilit, yan tuloy.""}"
https://twitter.com/ItsJamMagno/status/1511626865240203265,1511626865240203265,Neutral,Neutral,Ladder,Identified,"Text, Video, Reply",Rational,Philippines,1,"{edited video showing a person in pink climbing a ladder erratically;
quoting Jam Magno tweet which reads
""BREAKING NEWS: Tricia Robredo, anak ni Leni, nalaglag sa hagdan after magpumulit umakyat para kumbinsihin ang mga solid BBM Supporters.

BBM nga daw kasi sila, wag nang magpumilit, yan tuloy.""}"
